customer_state,customer_city,category,orders,gmv_brl
RJ,volta redonda,watches_gifts,12,3127.01
MG,betim,watches_gifts,21,3110.53
SP,sao caetano do sul,sports_leisure,32,3109.93
RS,canoas,furniture_decor,17,3109.19
MG,uberaba,sports_leisure,18,3103.91
RJ,niteroi,baby,25,3099.47
SP,itaquaquecetuba,auto,10,3096.74
SP,sao jose dos campos,garden_tools,27,3085.08
PR,londrina,auto,15,3083.59
RS,pelotas,sports_leisure,13,3069.13
SP,sao carlos,sports_leisure,22,3068.8
MT,cuiaba,furniture_decor,17,3067.96
MG,divinopolis,garden_tools,14,3066.51
ES,vitoria,telephony,23,3066.45
RJ,campos dos goytacazes,health_beauty,16,3064.73
RJ,rio de janeiro,costruction_tools_garden,14,3059.83
SP,atibaia,sports_leisure,18,3055.36
RJ,niteroi,stationery,22,3044.36
RS,novo hamburgo,housewares,10,3043.47
ES,serra,housewares,18,3041.42
SP,sao vicente,bed_bath_table,17,3038.7
MG,juiz de fora,computers_accessories,24,3029.99
SP,jundiai,toys,22,3028.72
MG,belo horizonte,home_construction,17,3027.36
SP,sorocaba,baby,21,3023.89
SC,florianopolis,pet_shop,14,3020.59
BA,salvador,pet_shop,22,3017.87
SP,indaiatuba,furniture_decor,23,3017.0
SP,cotia,housewares,16,3008.27
DF,brasilia,musical_instruments,10,3002.24
RN,natal,auto,10,2997.79
SP,santo andre,toys,31,2992.03
SP,sao caetano do sul,computers_accessories,16,2980.09
BA,feira de santana,health_beauty,16,2979.36
MG,uberaba,watches_gifts,12,2976.65
SP,mogi das cruzes,furniture_decor,27,2970.52
RJ,sao goncalo,cool_stuff,18,2964.66
SP,santo andre,office_furniture,15,2963.29
PE,recife,toys,16,2958.27
SP,presidente prudente,furniture_decor,15,2957.34
RS,pelotas,bed_bath_table,22,2951.25
ES,serra,sports_leisure,20,2950.98
SP,sumare,bed_bath_table,20,2949.31
MT,cuiaba,computers_accessories,11,2946.56
MG,belo horizonte,furniture_living_room,11,2946.05
SP,embu das artes,health_beauty,16,2944.7
MA,sao luis,cool_stuff,12,2936.96
SP,osasco,baby,27,2936.59
PA,ananindeua,computers_accessories,12,2932.31
PR,curitiba,electronics,43,2931.49
MG,uberlandia,perfumery,16,2920.2
PI,teresina,toys,17,2917.26
SP,aracatuba,furniture_decor,17,2916.36
MA,sao luis,telephony,28,2914.98
PR,maringa,auto,11,2913.95
SP,santo andre,auto,33,2903.41
SP,valinhos,health_beauty,23,2902.02
MA,sao luis,watches_gifts,23,2884.09
